# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	228098
#@/user_id	3eb7fba5-02d4-4760-8547-f0decde08619
a 	啊	c=692 d=1.71343 t=228098
wan shi 	完事	c=9 d=9.12037e-06 t=228098
wan shua 	玩耍	c=4 d=0.0426404 t=228098
wan shuo 	晚說	c=1 d=2.79859e-19 t=228098
wan wan 	玩玩	c=1 d=3.32238e-08 t=228098
wan wu 	萬物	c=1 d=3.64591e-13 t=228098
wan xian 	完線	c=1 d=2.48509e-33 t=228098
wan xiao 	玩笑	c=3 d=2.31353e-15 t=228098
wan yi 	玩意	c=5 d=3.03099e-18 t=228098
wan yi 	萬一	c=21 d=0.103312 t=228098
wan you xi 	玩遊戲	c=1 d=3.08117e-33 t=228098
wan zhe ge 	玩這個	c=1 d=3.24035e-08 t=228098
wan zheng 	完整	c=45 d=0.272532 t=228098
wan zheng du 	完整讀	c=1 d=2.84727e-16 t=228098
wan zheng na ge 	完整那個	c=1 d=7.75576e-11 t=228098
wan zheng xing 	完整性	c=2 d=5.42317e-08 t=228098
wan zhi hou 	完之後	c=2 d=1.88523e-77 t=228098
wan zhuan 	玩轉	c=3 d=1.02293e-22 t=228098
wang 	亡	c=1 d=6.86777e-51 t=228098
wang 	往	c=25 d=0.10383 t=228098
wang 	忘	c=5 d=0.0417251 t=228098
wang 	王	c=10 d=0.207008 t=228098
wang 	網	c=5 d=0.000464514 t=228098
wang bu 	亡布	c=2 d=9.72698e-50 t=228098
wang ce 	王策	c=2 d=1.35427e-09 t=228098
wang ce 	網冊	c=1 d=4.55455e-72 t=228098
wang chang 	往常	c=1 d=1.04593e-87 t=228098
wang dai 	網袋	c=1 d=0.0203434 t=228098
wang fei 	王菲	c=2 d=2.90618e-51 t=228098
wang gou 	網購	c=2 d=2.01567e-62 t=228098
wang hai shi na ge 	網還是那個	c=1 d=3.82217e-39 t=228098
wang hai zi 	網孩子	c=1 d=1.83943e-23 t=228098
wang hou 	往後	c=2 d=1.50728e-33 t=228098
wang ji 	忘記	c=63 d=0.0685632 t=228098
wang ji zhe ge 	忘記這個	c=1 d=2.55677e-44 t=228098
wang ke 	網課	c=4 d=0.084163 t=228098
wang li hong 	王力宏	c=1 d=6.6329e-24 t=228098
wang li mian 	往裏面	c=1 d=3.86362e-107 t=228098
wang ling 	亡靈	c=4 d=9.03752e-50 t=228098
wang lu 	網路	c=2 d=4.57534e-09 t=228098
wang lu ku 	網路庫	c=4 d=0.45612 t=228098
wang lu ou 	網路偶	c=1 d=4.59827e-08 t=228098
wang luo 	網絡	c=93 d=0.865022 t=228098
wang luo bu xing 	網絡不行	c=1 d=2.10022e-24 t=228098
wang luo ceng 	網絡層	c=2 d=1.39046e-54 t=228098
wang luo ku 	網絡庫	c=66 d=0.405659 t=228098
wang luo ku o 	網絡庫哦	c=1 d=3.80117e-33 t=228098
wang luo qing qiu 	網絡請求	c=3 d=4.32579e-54 t=228098
wang luo ti yan 	網絡體驗	c=1 d=0.472367 t=228098
wang ming 	網名	c=1 d=7.61797e-06 t=228098
wang pan 	網盤	c=5 d=8.29523e-08 t=228098
wang pang 	網旁	c=1 d=4.21769e-21 t=228098
wang qian 	往前	c=3 d=3.94688e-05 t=228098
wang qiu 	網球	c=1 d=0.00199922 t=228098
wang shang 	往上	c=1 d=6.69045e-08 t=228098
wang shang 	網上	c=22 d=0.319819 t=228098
wang su 	網速	c=12 d=0.22727 t=228098
wang su hen man 	網速很慢	c=1 d=5.93067e-31 t=228098
wang wang 	往往	c=8 d=0.40657 t=228098
wang xia zou 	往下走	c=1 d=3.11806e-26 t=228098
wang xian 	網線	c=2 d=1.58123e-67 t=228098
wang xiang 	妄想	c=1 d=7.06009e-23 t=228098
wang xing 	忘性	c=1 d=9.34846e-120 t=228098
wang ye 	網頁	c=8 d=1.22842 t=228098
wang yi 	網易	c=1 d=1.22149e-05 t=228098
wang yi yun 	網易雲	c=1 d=1.13647e-05 t=228098
wang zhan 	網站	c=36 d=8.78394e-05 t=228098
wang zhan shang 	網站上	c=1 d=9.02962e-06 t=228098
wang zhe 	王者	c=2 d=5.08274e-10 t=228098
wang zhi 	網址	c=24 d=0.141403 t=228098
wang zuo 	王座	c=1 d=3.05113e-07 t=228098
wei 	位	c=10 d=3.28961e-07 t=228098
wei 	偉	c=2 d=6.98627e-17 t=228098
wei 	威	c=2 d=0.000949097 t=228098
wei 	微	c=3 d=0.000953854 t=228098
wei 	未	c=42 d=0.0761538 t=228098
wei 	爲	c=250 d=0.915604 t=228098
wei 	維	c=7 d=0.0026669 t=228098
wei 	胃	c=1 d=1 t=199840
wei 	餵	c=1 d=1 t=227207
wei ai 	爲愛	c=2 d=2.55468e-05 t=228098
wei ai fa dian 	爲愛發電	c=1 d=1.31059e-35 t=228098
wei bing 	衛兵	c=5 d=3.9387e-11 t=228098
wei bo 	微博	c=1 d=1.19959e-82 t=228098
wei bo 	微薄	c=1 d=1.1936e-82 t=228098
wei cheng nian 	未成年	c=1 d=1.36412e-06 t=228098
wei ci 	爲此	c=1 d=6.8975e-43 t=228098
wei da 	偉大	c=3 d=7.69847e-12 t=228098
wei dao 	味道	c=2 d=0.377192 t=228098
wei dao 	維道	c=5 d=4.13575e-07 t=228098
wei deng lu 	未登錄	c=1 d=1.00361e-13 t=228098
wei dian 	位點	c=1 d=4.84227e-28 t=228098
wei du 	維度	c=4 d=2.51697e-28 t=228098
wei er 	味兒	c=12 d=0.00975476 t=228098
wei er ni tu 	味兒泥土	c=21 d=0.311923 t=228098
wei fa 	違法	c=2 d=5.02088e-13 t=228098
wei fei qu 	爲非去	c=1 d=1.3041e-06 t=228098
wei guan 	圍觀	c=1 d=1.57532e-23 t=228098
wei gui 	違規	c=1 d=0.000251014 t=228098
wei ha 	爲哈	c=2 d=7.08318e-32 t=228098
wei he 	爲何	c=2 d=9.1992e-19 t=228098
wei hu 	維護	c=40 d=0.0323869 t=228098
wei hu biao 	維護表	c=1 d=1.27095e-56 t=228098
wei ji 	維基	c=1 d=6.98344e-71 t=228098
wei ji fen 	微積分	c=1 d=5.43628e-07 t=228098
wei jin 	圍巾	c=1 d=7.48901e-11 t=228098
wei jue ding 	未決定	c=1 d=7.62576e-18 t=228098
wei ke 	威客	c=1 d=1.30073e-05 t=228098
wei kong 	爲空	c=2 d=0.036334 t=228098
wei lai 	未來	c=68 d=0.83527 t=228098
wei lun 	維綸	c=3 d=2.24935e-06 t=228098
wei mian 	位面	c=9 d=3.33784e-25 t=228098
wei ming zhong 	未命中	c=1 d=3.22408e-37 t=228098
wei neng 	未能	c=1 d=7.69298e-33 t=228098
wei qu 	委屈	c=3 d=0.000133688 t=228098
wei rao 	圍繞	c=2 d=7.86896e-05 t=228098
wei ruan 	微軟	c=1 d=2.38196e-05 t=228098
wei sa 	維薩	c=0 d=4.83815e-19 t=228098
wei sa hao 	維薩好	c=1 d=4.8624e-18 t=228098
wei sha 	爲啥	c=144 d=0.347921 t=228098
wei sha ji 	爲啥機	c=1 d=1 t=208348
wei she me 	爲什麼	c=2 d=3.09187e-15 t=228098
wei shen 	爲什	c=1 d=1.22958e-49 t=228098
wei shen me 	爲什麼	c=17 d=8.25245e-06 t=228098
wei sheng 	尾聲	c=1 d=2.13457e-09 t=228098
wei sheng jian 	衛生間	c=3 d=0.10435 t=228098
wei shu 	位數	c=3 d=2.33146e-39 t=228098
wei suo 	猥瑣	c=1 d=3.99457e-58 t=228098
wei tu 	位圖	c=2 d=0.107528 t=228098
wei wan 	委婉	c=1 d=1.30454e-10 t=228098
wei wang 	尾王	c=1 d=1.74283e-06 t=228098
wei wu 	威武	c=3 d=0.000986014 t=228098
wei xian 	危險	c=5 d=1.29424e-05 t=228098
wei xiao 	微笑	c=1 d=1 t=208219
wei xin 	威信	c=61 d=0.998799 t=228098
wei xin 	微信	c=141 d=1.29036 t=228098
wei xin 	維新	c=0 d=5.19779e-39 t=228098
wei xin du shu 	微信讀書	c=1 d=3.86071e-10 t=228098
wei xin hao 	微信號	c=5 d=0.00806679 t=228098
wei xin qun 	威信羣	c=4 d=7.46967e-10 t=228098
wei xin qun 	微信羣	c=1 d=1 t=205179
wei xin shi pin hao 	維新視頻號	c=1 d=5.22384e-38 t=228098
wei xiong 	偉兄	c=1 d=1 t=201380
wei xiu 	維修	c=3 d=5.94925e-09 t=228098
wei yi 	位移	c=1 d=9.99117e-20 t=228098
wei yi 	唯一	c=9 d=0.000617396 t=228098
wei yu 	位於	c=9 d=0.00012909 t=228098
wei yue 	違約	c=1 d=1 t=226483
wei zhang 	違章	c=1 d=1.07029e-05 t=228098
wei zhao dao 	未找到	c=1 d=0.554327 t=228098
wei zhe 	圍着	c=1 d=4.92198e-73 t=228098
wei zhi 	位置	c=154 d=1.12448 t=228098
wei zhi 	未知	c=7 d=9.58552e-06 t=228098
wei zhi 	爲止	c=2 d=0.127454 t=228098
wei zhu 	爲主	c=3 d=9.9586e-11 t=228098
wei zhun 	爲準	c=11 d=0.0295994 t=228098
wen 	吻	c=2 d=0.298197 t=228098
wen 	問	c=225 d=1.4073 t=228098
wen 	文	c=4 d=0.873716 t=228098
wen 	穩	c=2 d=1.56129e-06 t=228098
wen an 	文案	c=51 d=0.355125 t=228098
wen an de na ge 	文案的那個	c=1 d=6.80914e-09 t=228098
wen ang 	問昂	c=1 d=1 t=200072
wen ben 	文本	c=8 d=0.00561567 t=228098
wen ben ne 	文本呢	c=2 d=0.0564161 t=228098
wen ben shu ru 	文本輸入	c=1 d=1 t=196893
wen cuo 	問錯	c=1 d=5.05481e-05 t=228098
wen cuo ren 	問錯人	c=1 d=0.000508015 t=228098
wen dan 	文旦	c=1 d=5.24165e-78 t=228098
wen dang 	文檔	c=272 d=1.26964 t=228098
wen dang le 	文檔了	c=1 d=1.61597e-58 t=228098
wen dang li 	文檔裏	c=1 d=0.579842 t=228098
wen dang na 	文檔那	c=1 d=1.38182e-40 t=228098
wen dang shu 	文檔數	c=3 d=1.29823e-06 t=228098
wen dang zhong 	文檔中	c=3 d=1.99121e-44 t=228098
wen de 	問得	c=0 d=4.53507e-52 t=228098
wen de na ge 	問的那個	c=38 d=0.386741 t=228098
wen de na ge le 	問的那個了	c=1 d=2.95582e-15 t=228098
wen di nuan ba 	問地暖吧	c=1 d=2.61286e-64 t=228098
wen ding 	穩定	c=44 d=0.106992 t=228098
wen ding xing 	穩定性	c=5 d=7.83104e-07 t=228098
wen ding zu jian 	穩定組件	c=1 d=1.49503e-84 t=228098
wen du 	溫度	c=3 d=5.2502e-09 t=228098
wen e ti 	問額題	c=1 d=1.75157e-06 t=228098
wen guo 	問過	c=3 d=8.96444e-09 t=228098
wen he 	吻合	c=4 d=1.16524e-05 t=228098
wen he 	溫和	c=2 d=1.29156e-10 t=228098
wen hou 	問候	c=1 d=4.91127e-18 t=228098
wen hua 	文化	c=1 d=1.14586e-43 t=228098
wen jia 	問加	c=7 d=0.246597 t=228098
wen jian 	文件	c=230 d=0.610181 t=228098
wen jian 	穩健	c=1 d=1.79177e-67 t=228098
wen jian an 	文件案	c=1 d=3.66146e-63 t=228098
wen jian an jia 	文件安家	c=2 d=4.85531e-89 t=228098
wen jian jia 	文件夾	c=41 d=0.690734 t=228098
wen jian jia li mian 	文件夾裏面	c=1 d=3.17392e-29 t=228098
wen jian ming 	文件名	c=4 d=2.3717e-13 t=228098
wen jian ming cheng 	文件名稱	c=1 d=1.17367e-31 t=228098
wen jian zhong 	文件中	c=5 d=9.21517e-10 t=228098
wen nuan 	溫暖	c=0 d=1.25826e-86 t=228098
wen nuan de na ge 	溫暖的那個	c=1 d=1.26457e-85 t=228098
wen qing chu 	問清楚	c=1 d=1 t=220828
wen sha 	溫莎	c=1 d=1 t=204448
wen sheng 	問聲	c=1 d=1.49874e-25 t=228098
wen shui 	溫水	c=1 d=4.31109e-14 t=228098
wen ti 	問題	c=1372 d=5.49914 t=228098
wen ti de 	問題的	c=2 d=1.79158e-07 t=228098
wen ti le 	問題了	c=1 d=3.61297e-112 t=228098
wen ti me 	問題麼	c=1 d=3.34244e-20 t=228098
wen ti ni 	問題你	c=1 d=1.04187e-12 t=228098
wen tuo 	穩妥	c=2 d=0.19593 t=228098
wen tuo de dian 	穩妥的點	c=1 d=1.12781e-62 t=228098
wen wan 	溫婉	c=1 d=2.65786e-59 t=228098
wen wen 	問問	c=61 d=0.980483 t=228098
wen wen 	雯雯	c=1 d=8.81418e-16 t=228098
wen wen ti 	問問題	c=2 d=8.61559e-42 t=228098
wen wo 	問我	c=0 d=3.18647e-47 t=228098
wen wo ne 	問我呢	c=2 d=5.76244e-16 t=228098
wen xi er 	溫西爾	c=2 d=1.02457e-50 t=228098
wen xia 	問下	c=2 d=2.00507e-08 t=228098
wen xian 	文獻	c=1 d=1.50518e-46 t=228098
wen xin 	溫馨	c=1 d=1.15459e-44 t=228098
wen yan wen 	文言文	c=1 d=1 t=212671
wen yi ju 	問一句	c=1 d=0.0291588 t=228098
wen zhang 	文章	c=81 d=1.43874 t=228098
wen zhang hai shi 	文章還是	c=1 d=0.00442715 t=228098
wen zhang le 	文章了	c=1 d=6.40476e-24 t=228098
wen zhang li mian 	文章裏面	c=1 d=9.45971e-24 t=228098
wen zhong 	文中	c=1 d=1.15663e-06 t=228098
wen zhu 	穩住	c=1 d=5.87866e-45 t=228098
wen zi 	文字	c=47 d=0.0417941 t=228098
wen zi biao da 	文字表達	c=1 d=0.000133688 t=228098
weng 	甕	c=1 d=6.46473e-16 t=228098
wo 	我	c=4581 d=5.48087 t=228098
wo ca 	我擦	c=1 d=2.71634e-21 t=228098
wo dun 	沃頓	c=1 d=0.694197 t=228098
wo en 	沃恩	c=6 d=2.38196e-05 t=228098
wo en ni 	沃恩你	c=9 d=4.78593e-08 t=228098
wo er ma 	沃爾瑪	c=0 d=4.31623e-29 t=228098
wo er ma ni 	沃爾瑪你	c=8 d=1.19474e-05 t=228098
wo er ni zai 	我而你在	c=1 d=2.56017e-89 t=228098
wo ji de 	我記得	c=2 d=6.82306e-33 t=228098
wo jiu 	我就	c=3 d=1.73025e-09 t=228098
wo jue de 	我覺得	c=1 d=1.075e-86 t=228098
wo kan 	我看	c=6 d=1.11396e-05 t=228098
wo kan wo en 	我看我恩	c=1 d=1 t=218461
wo ke bu gan 	我可不敢	c=1 d=5.12531e-108 t=228098
wo lai 	我來	c=3 d=2.10459e-08 t=228098
wo li jie 	我理解	c=1 d=1 t=221434
wo lia 	我倆	c=4 d=0.00463092 t=228098
wo lun 	渦輪	c=1 d=4.30641e-60 t=228098
wo me 	我麼	c=35 d=0.0359973 t=228098
wo me mei you 	我麼沒有	c=1 d=2.22131e-07 t=228098
wo men 	我們	c=1090 d=1.74728 t=228098
wo men de 	我們的	c=3 d=0.177284 t=228098
wo men de ni 	我們的你	c=1 d=1 t=216722
wo men dou you 	我們都有	c=1 d=0.927743 t=228098
wo men ke yi 	我們可以	c=1 d=1.93395e-83 t=228098
wo men mei 	我們沒	c=1 d=2.24401e-09 t=228098
wo men mei you 	我們沒有	c=1 d=0.00190171 t=228098
wo men ne 	我們呢	c=2 d=5.35791e-42 t=228098
wo men neng 	我們能	c=1 d=6.40544e-84 t=228098
wo men neng de 	我們能的	c=1 d=1.93341e-21 t=228098
wo men you xie ku 	我們有些庫	c=1 d=7.92052e-23 t=228098
wo men zai 	我們在	c=1 d=0.00169512 t=228098
wo men zhe ge 	我們這個	c=2 d=9.56323e-05 t=228098
wo men zou 	我們走	c=1 d=3.18593e-44 t=228098
wo na 	我那	c=1 d=7.23465e-75 t=228098
wo na bi 	我那比	c=1 d=9.95521e-07 t=228098
wo na cheng 	我那成	c=1 d=6.93112e-12 t=228098
wo na ge luo 	我那個落	c=2 d=2.08975e-24 t=228098
wo na ge luo ku 	我那個羅庫	c=1 d=2.3387e-54 t=228098
wo na gu ji 	我那估計	c=1 d=0.00149594 t=228098
wo na shan 	我那山	c=1 d=1.64413e-26 t=228098
wo nang 	窩囊	c=1 d=3.64816e-79 t=228098
wo ne 	我呢	c=4 d=0.0180866 t=228098
wo ne ding 	我呢定	c=1 d=0.0015415 t=228098
wo ne jian 	我呢見	c=3 d=1.43826e-11 t=228098
wo ne ti 	我呢題	c=42 d=0.156139 t=228098
wo ne zhang 	我呢章	c=1 d=1 t=227009
wo nei tian 	我那天	c=3 d=1.57232e-30 t=228098
wo shi 	臥室	c=3 d=1.43826e-11 t=228098
wo shou 	握手	c=1 d=1 t=199140
wo ye shi 	我也是	c=1 d=1.30432e-08 t=228098
wo zhe bian 	我這邊	c=1 d=1.05726e-08 t=228098
wu 	五	c=2 d=2.29481e-37 t=228098
wu 	勿	c=2 d=4.02661e-05 t=228098
wu 	吳	c=1 d=1.45975e-09 t=228098
wu 	唔	c=0 d=1.58236e-47 t=228098
wu 	武	c=1 d=2.08868e-18 t=228098
wu 	無	c=39 d=2.49741 t=228098
wu ba 	五八	c=1 d=0.000343955 t=228098
wu ba 	惡霸	c=1 d=0.000342239 t=228098
wu ban quan 	無版權	c=1 d=3.44013e-06 t=228098
wu bao 	誤報	c=2 d=0.238115 t=228098
wu bi 	務必	c=4 d=0.0692522 t=228098
wu bi 	無比	c=3 d=0.0689068 t=228098
wu ca han 	無擦汗	c=2 d=4.15505e-111 t=228098
wu can 	午餐	c=1 d=8.60625e-88 t=228098
wu cao zuo 	誤操作	c=2 d=1.70619e-10 t=228098
wu cha 	誤差	c=5 d=7.04789e-111 t=228098
wu chang 	無償	c=1 d=2.38976e-14 t=228098
wu chao suo zhi 	物超所值	c=1 d=8.0918e-10 t=228098
wu chu lai 	悟出來	c=2 d=1.71269e-36 t=228098
wu chuang kou 	無窗口	c=1 d=9.95626e-67 t=228098
wu cong 	無從	c=0 d=3.46386e-29 t=228098
wu cong fa li 	無從發力	c=1 d=3.48122e-28 t=228098
wu dao 	誤導	c=1 d=1.45159e-90 t=228098
wu dao kou 	五道口	c=3 d=4.39329e-08 t=228098
wu di 	無敵	c=4 d=0.00798652 t=228098
wu dian 	誤點	c=3 d=3.35172e-05 t=228098
wu duan 	五段	c=1 d=6.87757e-09 t=228098
wu fa 	無法	c=36 d=0.900325 t=228098
wu fei 	無非	c=1 d=1.37119e-08 t=228098
wu feng 	無縫	c=1 d=4.13263e-46 t=228098
wu gan zhi 	無感知	c=1 d=1.6195e-113 t=228098
wu guan 	無關	c=9 d=3.65286e-06 t=228098
wu guan tong yang 	無關痛癢	c=1 d=1 t=215601
wu he 	五河	c=1 d=0.000413853 t=228098
wu he ba 	五河吧	c=1 d=1.251e-17 t=228098
wu hen 	無痕	c=17 d=0.556528 t=228098
wu hen mo shi 	無痕模式	c=1 d=3.5725e-09 t=228098
wu hua 	無話	c=1 d=8.23115e-05 t=228098
wu hua 	霧化	c=3 d=8.31387e-05 t=228098
wu hui 	誤會	c=1 d=4.5172e-34 t=228098
wu jie 	無解	c=2 d=0.640824 t=228098
wu jie 	誤解	c=4 d=0.634448 t=228098
wu jie lu 	烏節路	c=1 d=1 t=198702
wu ke lan 	烏克蘭	c=1 d=1.23771e-09 t=228098
wu li 	屋裏	c=4 d=0.30729 t=228098
wu li 	無力	c=2 d=4.70353e-38 t=228098
wu li 	物理	c=11 d=0.798516 t=228098
wu li ji qi 	物理機器	c=1 d=1.21424e-19 t=228098
wu lian 	捂臉	c=1 d=8.26343e-51 t=228098
wu liao 	無聊	c=1 d=1.37353e-28 t=228098
wu liu 	五六	c=1 d=3.9156e-29 t=228098
wu liu 	物流	c=10 d=0.459117 t=228098
wu lun 	五輪	c=1 d=1.06706e-87 t=228098
wu lun 	無論	c=12 d=0.0587185 t=228098
wu mian 	無冕	c=1 d=3.15379e-14 t=228098
wu mian zhe 	無冕者	c=3 d=1.02213e-12 t=228098
wu mo 	惡魔	c=0 d=3.96451e-29 t=228098
wu mo en 	惡魔恩	c=1 d=3.98438e-28 t=228098
wu nai 	無奈	c=1 d=0.00726273 t=228098
wu pan 	誤判	c=2 d=8.25245e-06 t=228098
wu pen 	勿噴	c=1 d=1 t=198789
wu pin 	物品	c=1 d=1.24455e-15 t=228098
wu qi 	五期	c=1 d=2.20356e-89 t=228098
wu qi 	武器	c=15 d=0.683861 t=228098
wu qi en 	武器恩	c=1 d=0.358796 t=228098
wu qing 	武清	c=3 d=1.94046e-05 t=228098
wu ran 	污染	c=6 d=2.16609e-05 t=228098
wu se er 	烏瑟爾	c=1 d=5.53349e-39 t=228098
wu seng 	武僧	c=6 d=0.00856561 t=228098
wu sha mao 	烏紗帽	c=1 d=7.74339e-51 t=228098
wu shan 	誤刪	c=1 d=5.69619e-27 t=228098
wu shi 	務實	c=1 d=1.21461e-52 t=228098
wu shi 	無視	c=1 d=9.96102e-102 t=228098
wu shu ge 	無數個	c=1 d=1 t=217018
wu shui 	午睡	c=2 d=1.46947e-87 t=228098
wu si 	無私	c=1 d=1.64001e-114 t=228098
wu sun 	無損	c=1 d=0.546074 t=228098
wu suo wei 	無所謂	c=1 d=4.42926e-38 t=228098
wu wang 	無望	c=0 d=1.58289e-51 t=228098
wu wang 	舞王	c=1 d=1 t=201792
wu wu wu 	嗚嗚嗚	c=0 d=8.96139e-06 t=228098
wu wu wu wu wu wu wen wen 	嗚嗚嗚嗚嗚嗚問問	c=1 d=1 t=200104
wu wu wu wu wu wu wo 	嗚嗚嗚嗚嗚嗚我	c=1 d=1 t=226235
wu wu wu wu wu wu wu wu wu wu wu wu wen wen 	嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚問問	c=1 d=4.23292e-34 t=228098
wu xian 	五險	c=3 d=0.680451 t=228098
wu xian 	無線	c=0 d=2.82654e-78 t=228098
wu xian 	無限	c=4 d=1.97341e-56 t=228098
wu xian ci 	無線次	c=1 d=2.8407e-77 t=228098
wu xian ci 	無限次	c=1 d=2.85494e-77 t=228098
wu xiao 	無效	c=8 d=0.0081887 t=228098
wu xiu 	午休	c=4 d=0.106992 t=228098
wu xu 	無需	c=5 d=9.31095e-14 t=228098
wu ya zui 	烏鴉嘴	c=1 d=1.84213e-99 t=228098
wu ye 	午夜	c=5 d=1.40601e-16 t=228098
wu ye 	物業	c=1 d=3.91093e-15 t=228098
wu yi 	五一	c=24 d=9.573e-17 t=228098
wu yi 	無意	c=7 d=6.842e-18 t=228098
wu yi 	無疑	c=3 d=6.43389e-43 t=228098
wu yi zhong 	無意中	c=3 d=5.19973e-13 t=228098
wu yong 	無用	c=14 d=1.78404e-08 t=228098
wu yong gong 	無用功	c=1 d=2.12979e-12 t=228098
wu yu 	無語	c=1 d=1.1151e-17 t=228098
wu yuan wu gu 	無緣無故	c=1 d=4.74896e-05 t=228098
wu zhi dao 	唔知道	c=2 d=1.59029e-46 t=228098
wu zi 	屋子	c=4 d=0.0782705 t=228098
wu zi 	物資	c=4 d=1.01563e-06 t=228098
xi 	喜	c=1 d=1 t=226569
xi 	希	c=2 d=1.24476e-17 t=228098
xi 	息	c=5 d=4.18591 t=207335
xi 	汐	c=1 d=3.53048e-105 t=228098
xi 	洗	c=6 d=0.0931181 t=228098
xi 	系	c=0 d=3.20026e-39 t=228098
xi 	細	c=3 d=0.546074 t=228098
xi 	西	c=15 d=2.46933e-17 t=228098
xi ai 	喜愛	c=1 d=1.11185e-12 t=228098
xi ai dan 	喜愛單	c=1 d=3.02643e-28 t=228098
xi ai zai 	喜愛在	c=1 d=3.1625e-16 t=228098
xi ai zai nai 	喜愛在奈	c=1 d=1.27776e-60 t=228098
xi an 	西安	c=9 d=0.798644 t=228098
xi bao 	細胞	c=2 d=9.25321e-12 t=228098
xi cha 	喜茶	c=2 d=6.29162e-12 t=228098
xi chang 	細長	c=1 d=7.92726e-33 t=228098
xi cheng 	西城	c=2 d=0.0023344 t=228098
xi dan 	西單	c=1 d=2.34124e-08 t=228098
xi diao 	洗掉	c=1 d=1.02819e-121 t=228098
xi fen 	細分	c=2 d=2.03116e-13 t=228098
xi fu 	媳婦	c=81 d=1.12709 t=228098
xi ge 	喜哥	c=2 d=1.99005 t=226575
xi guai 	系怪	c=4 d=0.344728 t=228098
xi guan 	習慣	c=34 d=0.120667 t=228098
xi guan kui 	習慣虧	c=1 d=2.76783e-36 t=228098
xi hong shi 	西紅柿	c=2 d=1.49284e-09 t=228098
xi hong shi ji dan 	西紅柿雞蛋	c=1 d=1.50032e-08 t=228098
xi hu lu 	西葫蘆	c=1 d=7.00532e-49 t=228098
xi hua 	細化	c=5 d=3.44248e-14 t=228098
xi huan 	喜歡	c=29 d=0.0247235 t=228098
xi huan ma 	喜歡嗎	c=1 d=1.99956e-05 t=228098
xi jie 	細節	c=32 d=0.852144 t=228098
xi la zi mu 	希臘字母	c=2 d=0.00234249 t=228098
xi lai 	襲來	c=1 d=9.44011e-29 t=228098
xi li 	犀利	c=1 d=1.94244e-17 t=228098
xi li su si 	希利蘇斯	c=6 d=3.942e-06 t=228098
xi lie 	系列	c=14 d=0.0322254 t=228098
xi liu 	溪流	c=1 d=0.0141931 t=228098
xi men 	西門	c=5 d=0.0295994 t=228098
xi na 	吸納	c=0 d=2.7966e-41 t=228098
xi neng nai 	洗能耐	c=1 d=2.85552e-50 t=228098
xi ni 	細膩	c=0 d=4.38281e-62 t=228098
xi ni xia 	細膩下	c=1 d=4.40478e-61 t=228098
xi ning 	西寧	c=0 d=1.02566e-05 t=228098
xi ou 	西歐	c=0 d=3.68682e-57 t=228098
xi ou ta na ge 	西歐他那個	c=3 d=8.51082e-56 t=228098
xi ping 	息屏	c=13 d=1.51386 t=215243
xi qing 	喜慶	c=1 d=2.53012e-09 t=228098
xi sheng 	犧牲	c=3 d=2.27243e-10 t=228098
xi shu 	係數	c=10 d=0.00179994 t=228098
xi tang 	喜糖	c=2 d=7.75287e-36 t=228098
xi tong 	系統	c=321 d=2.26175 t=228098
xi tong de 	系統的	c=1 d=5.42964e-22 t=228098
xi wan 	洗碗	c=1 d=1 t=226988
xi wang 	希望	c=35 d=0.08291 t=228098
xi wang gang 	希望港	c=1 d=9.90555e-07 t=228098
xi wei 	席位	c=1 d=1.15145e-12 t=228098
xi wei 	細微	c=3 d=6.01007e-11 t=228098
xi wu 	習武	c=1 d=1 t=222476
xi xi 	嘻嘻	c=0 d=3.62082e-21 t=228098
xi xi 	曦曦	c=11 d=0.0205478 t=228098
xi xi 	西西	c=0 d=2.91172e-45 t=228098
xi xi ni 	嘻嘻你	c=1 d=3.63897e-20 t=228098
xi xiao kou 	西小口	c=3 d=7.99781e-09 t=228098
xi xin 	細心	c=1 d=7.84998e-06 t=228098
xi ya 	西亞	c=0 d=3.06736e-40 t=228098
xi yi ji 	洗衣機	c=2 d=1.00039 t=227620
xi yin 	吸引	c=2 d=1.14942e-50 t=228098
xi yong 	習用	c=1 d=0.000376347 t=228098
xi you 	稀有	c=5 d=4.82566e-17 t=228098
xi zao 	洗澡	c=0 d=0.1 t=227610
xi zhi 	細緻	c=4 d=0.0109986 t=228098
xia 	下	c=2077 d=3.89001 t=228098
xia 	俠	c=1 d=8.72054e-08 t=228098
xia 	嚇	c=9 d=5.0933e-05 t=228098
xia 	夏	c=1 d=2.28057e-52 t=228098
xia 	瞎	c=4 d=4.6014e-16 t=228098
xia 	霞	c=3 d=2.77529e-97 t=228098
xia a bu neng 	下啊不能	c=1 d=8.52814e-69 t=228098
xia ao guo 	下凹過	c=1 d=1 t=204649
xia ba nan 	下吧難	c=1 d=1.03053e-89 t=228098
xia ban 	下班	c=42 d=0.00455366 t=228098
xia ban bu fen 	下半部分	c=1 d=3.79458e-42 t=228098
xia ban nian 	下半年	c=1 d=7.31927e-06 t=228098
xia ban zao 	下班早	c=1 d=0.00329615 t=228098
xia bu qu 	下不去	c=1 d=6.51818e-54 t=228098
xia ceng 	下層	c=1 d=4.59734e-35 t=228098
